index_code,date,open,close,low,high,volume,money,change,label
300,2006/12/13,1805.42,1803.86,1779.56,1813.28,48004458,33154391167,0.0593,1836.14
300,2006/12/14,1807.08,1836.14,1805.2,1836.19,47206227,33323930871,1.7895,1867.64
300,2006/12/15,1842.88,1867.64,1832.51,1867.78,49414441,36957407983,1.7156,1916.11
300,2006/12/18,1875.01,1916.11,1875.01,1918.29,61892990,46530167681,2.5953,1921.44
300,2006/12/19,1924.8,1921.44,1882.54,1936.75,67788935,48969821687,0.2782,1936.55
300,2006/12/20,1912.9,1936.55,1893.42,1936.8,56348502,39745359733,0.7864,1908.98
300,2006/12/21,1935.78,1908.98,1905.72,1945.47,60225164,43437770784,-1.4237,1895.64
300,2006/12/22,1896.48,1895.64,1880.57,1918.49,46230501,34870781835,-0.6988,1939.1
300,2006/12/25,1898.82,1939.1,1898.82,1957.47,56251742,41951575108,2.2926,1938.24
300,2006/12/26,1941.8,1938.24,1914.97,1959.98,56967383,39106900197,-0.0443,1982.88
300,2006/12/27,1940.41,1982.88,1939.55,1983.11,56005647,38961689252,2.3031,1979.93
300,2006/12/28,1988.02,1979.93,1964.97,2010.37,63192834,45224328165,-0.1488,2041.05
300,2006/12/29,1991.88,2041.05,1991.88,2052.86,73851947,55716388327,3.087,2067.09
300,2007/1/4,2073.25,2067.09,2054.24,2139.49,106719707,82381072591,1.2758,2072.88
300,2007/1/5,2051.15,2072.88,2030.76,2083.4,92743447,68026060235,0.2801,2131.56
300,2007/1/8,2072,2131.56,2071.72,2131.74,84767909,66303936118,2.8309,2200.09
300,2007/1/9,2137.49,2200.09,2128.06,2201.36,81577629,65456192715,3.215,2255.97
300,2007/1/10,2210.76,2255.97,2194.77,2255.97,84904979,68822624817,2.5399,2231.63
300,2007/1/11,2257.01,2231.63,2224.37,2289.95,86276548,68730011815,-1.0789,2173.75
300,2007/1/12,2215.86,2173.75,2159.77,2249.54,76525720,61742830353,-2.5936,2287.34
300,2007/1/15,2170.94,2287.34,2170.94,2287.68,66403097,57043453710,5.2255,2353.87
300,2007/1/16,2310.96,2353.87,2297.24,2354.43,76364254,67843434156,2.9086,2308.93
300,2007/1/17,2360.41,2308.93,2266.34,2393.22,89015540,80008901771,-1.9092,2317.09
300,2007/1/18,2292.17,2317.09,2240.21,2325.53,78648606,69894972894,0.3534,2396.09
300,2007/1/19,2320.87,2396.09,2320.87,2396.09,83334022,73538873546,3.4094,2491.31
300,2007/1/22,2424.81,2491.31,2424.81,2491.71,93892993,81870488111,3.974,2508.13
300,2007/1/23,2508.26,2508.13,2415.11,2516.59,102337616,92812872354,0.6751,2536.43
300,2007/1/24,2508.52,2536.43,2489.93,2556.1,84433697,80277493989,1.1283,2452.83
300,2007/1/25,2512.46,2452.83,2449.05,2529.43,81055151,77241720261,-3.296,2512.92
300,2007/1/26,2415.75,2512.92,2356.98,2524.24,78654008,73275675715,2.4498,2576.92
300,2007/1/29,2529.94,2576.92,2521.5,2582.41,85452085,79544859355,2.5468,2551.88
300,2007/1/30,2586.52,2551.88,2531.78,2599.45,78211528,73485012977,-0.9717,2385.33
300,2007/1/31,2544.3,2385.33,2367.67,2548.18,80909137,71945032667,-6.5266,2395.17
300,2007/2/1,2350.6,2395.17,2310.57,2410.42,65078095,57578101142,0.4125,2298
300,2007/2/2,2397.06,2298,2293.28,2403.62,59377154,53535112102,-4.0569,2271.8
300,2007/2/5,2282.77,2271.8,2247.93,2304.32,47587506,42358010146,-1.1401,2316.04
300,2007/2/6,2271.37,2316.04,2198.9,2316.7,67010648,61206502550,1.9474,2369.79
300,2007/2/7,2330.43,2369.79,2330.43,2390.87,70106390,66203343445,2.3208,2410.6
300,2007/2/8,2376.63,2410.6,2354.7,2415.96,62656540,58367504085,1.7221,2397.25
300,2007/2/9,2412.64,2397.25,2376.02,2417.64,55515532,51302933998,-0.5538,2485.39
300,2007/2/12,2397.85,2485.39,2396.79,2485.76,54992320,51709436972,3.6767,2522.63
300,2007/2/13,2498.34,2522.63,2489.66,2526.23,51528862,48227864862,1.4984,2588.35
300,2007/2/14,2527.56,2588.35,2520.53,2594.66,62777279,58462267865,2.6052,2668.63
300,2007/2/15,2607.63,2668.63,2607.63,2669.18,71631329,67415688269,3.1016,2676.74
300,2007/2/16,2692.67,2676.74,2660.49,2717.57,75908785,71597577014,0.3039,2707.68
300,2007/2/26,2679.26,2707.68,2641.12,2710.3,74531560,70981612303,1.1559,2457.49
300,2007/2/27,2717.81,2457.49,2454.92,2719.52,107736807,1.01E+11,-9.24,2544.57
300,2007/2/28,2413.42,2544.57,2413.33,2554.23,82822571,77148246135,3.5435,2473.54
300,2007/3/1,2550.26,2473.54,2439.5,2550.33,82159655,74299578237,-2.7914,2508.73
300,2007/3/2,2468.67,2508.73,2455.82,2523.86,57946805,54222099462,1.4227,2475.61
300,2007/3/5,2503.82,2475.61,2409.72,2541.82,68517488,63071754494,-1.3202,2520.29
300,2007/3/6,2467.74,2520.29,2452.14,2539.45,52633153,50261314068,1.8048,2589.44
300,2007/3/7,2532.98,2589.44,2532.15,2594.46,59720949,57623239829,2.7437,2627.63
300,2007/3/8,2597.72,2627.63,2565.11,2628.45,55386559,53907621543,1.4748,2611.39
300,2007/3/9,2632.8,2611.39,2587.49,2643.81,70411326,67933045137,-0.618,2616.17
300,2007/3/12,2612.96,2616.17,2563.37,2619.5,62468921,60438197476,0.183,2640.17
300,2007/3/13,2620.72,2640.17,2605.23,2641.63,65788908,62061191754,0.9174,2597.36
300,2007/3/14,2609.93,2597.36,2546.65,2625.12,68952088,66581939459,-1.6215,2645.55
300,2007/3/15,2595.54,2645.55,2595.54,2645.88,63778489,63266778524,1.8553,2604.23
300,2007/3/16,2656.01,2604.23,2576.32,2665.39,75331850,74777024467,-1.5619,2659.41
300,2007/3/19,2533.71,2659.41,2523.3,2674.8,73983566,72943661095,2.1189,2672.77
300,2007/3/20,2669.64,2672.77,2645.25,2674.47,61249726,61741482419,0.5024,2702.6
300,2007/3/21,2685.93,2702.6,2666.89,2703,64612957,68369315608,1.1161,2711.32
300,2007/3/22,2720.46,2711.32,2702.41,2740.28,83308074,86036277732,0.3227,2716.27
300,2007/3/23,2710.36,2716.27,2653.79,2726.62,73911919,76304490420,0.1826,2764.03
300,2007/3/26,2725.4,2764.03,2713.93,2764.4,76074773,77796101199,1.7583,2784.02
300,2007/3/27,2770.35,2784.02,2753.02,2789.97,80725127,84018394699,0.7232,2797.65
300,2007/3/28,2787.24,2797.65,2689.11,2806.08,112209970,1.12E+11,0.4896,2783.3
300,2007/3/29,2802.38,2783.3,2782.93,2830.08,106567239,1.13E+11,-0.5129,2781.78
300,2007/3/30,2768.71,2781.78,2753.15,2801.95,62950706,66536969255,-0.0546,2850.11
300,2007/4/2,2793.96,2850.11,2793.96,2850.15,69247883,76680507856,2.4563,2888.11
300,2007/4/3,2861.9,2888.11,2852.57,2888.33,77014495,87091853081,1.3333,2911.82
300,2007/4/4,2893.38,2911.82,2875.69,2924.68,75506658,88456071223,0.821,2945.04
300,2007/4/5,2909.5,2945.04,2895.42,2950.66,74138991,85195598382,1.1409,2972.01
300,2007/4/6,2921.73,2972.01,2911.05,2977.46,79102328,93049572083,0.9158,3038.17
300,2007/4/9,2988.38,3038.17,2988.38,3043.06,90901705,1.06E+11,2.2261,3081.57
300,2007/4/10,3053.35,3081.57,2993.11,3081.62,100888342,1.20E+11,1.4285,3121.32
300,2007/4/11,3092.08,3121.32,3059.28,3121.54,101669935,1.24E+11,1.2899,3176.44
300,2007/4/12,3129.25,3176.44,3114.91,3176.69,92535186,1.18E+11,1.7659,3169.23
300,2007/4/13,3182.78,3169.23,3154.11,3211.61,100653116,1.30E+11,-0.227,3256
